identifier,cercanaHip,idcruzHip,dist,dif_ra,dif_de
HD 27534,20350,20350,1.0421073345716315e-6,-1.722222195965628e-7,-1.0277777988676462e-6
HD 30869,22607,22607,2.673746423502106e-6,-1.9444444987470888e-7,-2.666666700790188e-6
V* V993 Tau,20815,NA,1.8349823903657764e-6,-7.777777977224787e-8,1.8333333002829022e-6
LTT 10969,13834,NA,4.338472703492846e-6,2.1111110992677595e-7,4.333333301076436e-6
HD 28608,21066,21066,2.2588713992360704e-6,-1.9999999967268423e-7,2.2499999996483666e-6
HD 28363,20916,20916,4.700239639274661e-6,-2.333333393167436e-7,4.694444399433451e-6
LP 15-640,21053,NA,3.215030698025184e-7,-1.0000000028043132e-7,3.05555598600904e-7
HD 28069,20693,20693,1.5612593783628336e-6,-1.3333333015452808e-7,-1.555555550147858e-6
* 55 Tau,20215,NA,3.207480602228818e-6,-2.8888889058720224e-7,3.194444399667873e-6
HD 28911,21267,21267,5.923640032479541e-7,2.055555592406222e-7,5.555555997460715e-7
HD 27524,20349,20349,1.279238316118367e-6,6.111110995021818e-8,1.2777777982364569e-6
HR 1436,21152,NA,6.196128326469569e-6,-1.444444395204414e-7,6.194444449825198e-6
HD 27732,20480,20480,2.308505520814887e-6,-1.1666667010246101e-7,2.3055556006568168e-6
HD 27771,20492,20492,1.0973593859784694e-6,-3.0000000084129397e-7,-1.0555555984836928e-6
NAME PHI 342,20661,NA,2.8912437080000725e-6,-1.166666603324984e-7,2.888888898766595e-6
V* V938 Tau,21317,NA,1.1219471492208438e-6,-1.5555554977453312e-7,-1.11111110001616e-6
V* V897 Tau,20577,NA,7.5461542941155e-7,-8.333332957022321e-8,7.500000016591457e-7
V* V921 Tau,20951,NA,3.1225187593299004e-6,2.666666700790188e-7,3.1111111020720728e-6
V* V1116 Tau,21459,NA,3.2587678491443045e-6,2.3888889000289737e-7,3.249999998899966e-6
HR 1279,19261,NA,3.0024886808916475e-6,1.2222221990043636e-7,-3.0000000013075123e-6
HD 27561,20357,20357,1.2006813458480595e-6,-1.2222221990043636e-7,-1.194444399388317e-6
HD 27685,20441,20441,2.2497018972272614e-5,-4.294444440056111e-6,-2.208333329889456e-5
* del Tau,20455,NA,5.195558184229752e-7,-2.166666597247513e-7,-4.7222220089793154e-7
HR 1201,18170,NA,6.117420852000854e-7,-2.7777779632032207e-8,6.11111097725825e-7
HD 26345,19504,19504,8.888887936819856e-8,-8.888887936819856e-8,0
HD 26784,19796,19796,7.0306230735201555e-6,-1.9999999967268423e-7,-7.027777799706314e-6
HD 28406,20948,20948,2.2284632464938786e-7,1.6666660052067073e-8,-2.2222220152912087e-7
HD 26756,19781,19781,3.6217795212987007e-7,1.9444444987470888e-7,-3.055556003772608e-7
* 61 Ori,28614,NA,4.259343396240432e-6,-5.611111104641964e-7,-4.222222221628158e-6
HD 30738,22524,22524,4.9837575470185296e-006,-3.3888888939515027e-7,-4.972222200194665e-6
* 45 Tau,19554,NA,2.388992247171968e-6,-2.2222219620005035e-8,2.388888890259011e-6
* eps Tau,20889,NA,2.9528182371413617e-006,-2.2222222018086768e-7,-2.944444400299062e-6
HD 28033,20712,20712,4.812586400141748e-6,-5.777777705162634e-7,-4.777777800057947e-6
* 77 Tau,20885,NA,6.115150063404865e-7,2.2222219620005035e-8,-6.111110995021818e-7
V* V1099 Tau,19877,NA,8.044820654887937e-7,2.055555601288006e-7,7.777777994988355e-7
* gam Tau,20205,NA,1.1673146692309156e-6,3.8888889442034724e-8,1.1666667010246101e-6
HD 28394,20935,20935,1.2570909993024918e-6,1.333333399244907e-7,1.250000000396767e-6
HR 1233,18658,NA,7.425236456699488e-6,1.3277777797249257e-6,-7.305555598691171e-6
V* V984 Tau,19934,NA,1.7261692913921142e-6,-1.1666667010246101e-7,1.7222222012946986e-6
V* V920 Tau,20899,NA,1.073315549746407e-6,1.9444444987470888e-7,-1.0555556002600497e-6
HD 27731,20491,20491,1.3904879804031566e-6,6.666667040633456e-8,1.3888889007773741e-6
HD 29225,21474,21474,5.267240723899811e-7,2.333333304349594e-7,4.722221991215747e-7
HD 30810,22550,22550,2.0555631069897254e-006,-5.5555497979753454e-9,-2.0555555995116492e-6
LP 19-731,21008,NA,2.5098571374801777e-7,-2.2222219620005035e-8,2.5000000292152436e-7
* 101 Tau,23214,NA,1.708954223934147e-6,-2.2222222018086768e-7,-1.6944443999022951e-6
HD 27848,20567,20567,1.5171956524733048e-6,-3.666666694712717e-7,1.4722221983731743e-6
HD 27808,20557,20557,7.720823222447509e-7,-1.8333332985065454e-7,7.500000016591457e-7
HD 20439,15310,15310,2.3655252840801122e-6,1.4444445017858243e-7,2.3611111092947112e-6
V* V985 Tau,20082,NA,9.017130141846995e-7,-3.4444444008130404e-7,8.333332992549458e-7
V* V911 Tau,20741,NA,8.430726829876417e-7,1.2777778035655274e-7,8.333332992549458e-7
